v_gal,v_out,lognh,x,y
0,300.0,20.0625,1621.38356559,0.0
0,300.0,20.0625,1651.17236831,0.0
0,300.0,20.0625,1680.95522366,0.0
0,300.0,20.0625,1710.73213342,0.0
0,300.0,20.0625,1740.50309937,0.0
0,300.0,20.0625,1770.26812329,0.0
0,300.0,20.0625,1800.02720696,0.0
0,300.0,20.0625,1829.78035215,0.0
0,300.0,20.0625,1859.52756065,0.0
0,300.0,20.0625,1889.26883423,0.0
0,300.0,20.0625,1919.00417467,0.0
0,300.0,20.0625,1948.73358373,0.0
0,300.0,20.0625,1978.45706321,0.0
0,300.0,20.0625,2008.17461486,0.0
0,400.0,20.0625,-962.876833209,0.0
0,400.0,20.0625,-928.230956631,0.0
0,400.0,20.0625,-893.593055777,0.0
0,400.0,20.0625,-858.963127895,0.0
0,400.0,20.0625,-824.341170232,0.0
0,400.0,20.0625,-789.727180037,0.0
0,400.0,20.0625,-755.121154559,0.0
0,400.0,20.0625,-720.52309105,0.0
0,400.0,20.0625,-685.932986763,0.0
0,400.0,20.0625,-651.350838951,0.0
0,400.0,20.0625,-616.776644869,0.0
0,400.0,20.0625,-582.210401774,0.0
0,400.0,20.0625,-547.652106924,0.0
0,400.0,20.0625,-513.101757576,0.0
0,400.0,20.0625,-478.559350992,0.0
0,400.0,20.0625,-444.024884433,0.0
0,400.0,20.0625,-409.49835516,0.0
0,400.0,20.0625,-374.979760439,0.0
0,400.0,20.0625,-340.469097534,0.0
0,400.0,20.0625,-305.966363713,0.0
0,400.0,20.0625,-271.471556241,0.0
0,400.0,20.0625,-236.984672389,0.0
0,400.0,20.0625,-202.505709426,0.165901334698
0,400.0,20.0625,-168.034664624,0.0
0,400.0,20.0625,-133.571535256,0.0
0,400.0,20.0625,-99.1163185954,4.15414945132
0,400.0,20.0625,-64.6690119176,222.885161944
0,400.0,20.0625,-30.2296124989,841.943522975
0,400.0,20.0625,4.20188238294,4555.0573724
0,400.0,20.0625,38.625475449,2749.92275835
0,400.0,20.0625,73.041169419,1585.17533621
0,400.0,20.0625,107.448967012,1456.14330696
0,400.0,20.0625,141.848870944,775.177804277
0,400.0,20.0625,176.240883933,1039.49097273
0,400.0,20.0625,210.625008692,1178.94273092
0,400.0,20.0625,245.001247936,818.874142945
0,400.0,20.0625,279.369604376,988.997554092
0,400.0,20.0625,313.730080724,805.698909183
0,400.0,20.0625,348.08267969,600.606440542
0,400.0,20.0625,382.427403982,408.773362302
0,400.0,20.0625,416.764256308,484.814627737
0,400.0,20.0625,451.093239374,551.033644794
0,400.0,20.0625,485.414355884,860.728990955
0,400.0,20.0625,519.727608543,1171.98543643
0,400.0,20.0625,554.033000052,937.828563534
0,400.0,20.0625,588.330533113,1105.81206272
0,400.0,20.0625,622.620210426,1604.6049478
0,400.0,20.0625,656.902034689,2134.42049287
0,400.0,20.0625,691.176008601,2013.40556368
0,400.0,20.0625,725.442134856,2094.32130869
0,400.0,20.0625,759.700416151,1621.86029016
0,400.0,20.0625,793.950855178,1357.49592699
0,400.0,20.0625,828.193454632,701.05673753
0,400.0,20.0625,862.428217201,578.064145911
0,400.0,20.0625,896.655145578,82.4908600436
0,400.0,20.0625,930.87424245,183.725486974
0,400.0,20.0625,965.085510506,161.636098112
0,400.0,20.0625,999.288952431,273.016931553
0,400.0,20.0625,1033.48457091,0.0
0,400.0,20.0625,1067.67236863,0.0973353374211
0,400.0,20.0625,1101.85234827,38.9220953713
0,400.0,20.0625,1136.02451251,48.5113107058
0,400.0,20.0625,1170.18886404,0.0
0,400.0,20.0625,1204.34540552,82.2150683497
0,400.0,20.0625,1238.49413965,0.0
0,400.0,20.0625,1272.63506909,75.9164710287
0,400.0,20.0625,1306.76819653,62.5561902874
0,400.0,20.0625,1340.89352463,0.0
0,400.0,20.0625,1375.01105607,0.0
0,400.0,20.0625,1409.12079352,0.0
0,400.0,20.0625,1443.22273965,126.49000275
0,400.0,20.0625,1477.31689713,0.0
0,400.0,20.0625,1511.40326863,0.0
0,400.0,20.0625,1545.48185681,0.0
0,400.0,20.0625,1579.55266435,0.0
0,400.0,20.0625,1613.6156939,0.0
0,400.0,20.0625,1647.67094812,0.0
0,400.0,20.0625,1681.71842969,0.0
0,400.0,20.0625,1715.75814126,0.0
0,400.0,20.0625,1749.79008548,0.0
0,400.0,20.0625,1783.81426503,0.0
0,400.0,20.0625,1817.83068255,0.0
0,400.0,20.0625,1851.8393407,0.0
0,400.0,20.0625,1885.84024214,0.0
0,400.0,20.0625,1919.83338951,0.0
0,400.0,20.0625,1953.81878548,0.0
0,400.0,20.0625,1987.79643269,0.0
0,400.0,20.0625,2021.76633379,0.0
0,400.0,20.0625,2055.72849144,0.0
0,400.0,20.0625,2089.68290827,0.0
0,400.0,20.0625,2123.62958694,0.0
0,400.0,20.0625,2157.56853008,0.0
0,400.0,20.0625,2191.49974035,0.0
0,400.0,20.0625,2225.42322039,0.0
0,400.0,20.0625,2259.33897283,0.0
0,400.0,20.0625,2293.24700032,0.0
